run,subrun,beam_type,is_cosmic,t_start,t_end,t_start_unix,t_end_unix,hours,events,t_source
run_67,m141On_dr700_r530_033,neutrons,False,2026-07-23 04:27:00,2026-07-23 04:37:00,1784773620.0,1784774220.0,0.1666666666666666,10278,runctrl
run_67,m113On_dr700_r530_034,neutrons,False,2026-07-23 04:38:00,2026-07-23 04:48:00,1784774280.0,1784774880.0,0.1666666666666666,11981,runctrl
run_67,m090On_dr700_r530_035,neutrons,False,2026-07-23 04:48:00,2026-07-23 04:58:00,1784774880.0,1784775480.0,0.1666666666666666,13442,runctrl
run_67,m141On_dr700_r525_036,neutrons,False,2026-07-23 04:59:00,2026-07-23 05:09:00,1784775540.0,1784776140.0,0.1666666666666666,10273,runctrl
run_67,m113On_dr700_r525_037,neutrons,False,2026-07-23 05:09:00,2026-07-23 05:19:00,1784776140.0,1784776740.0,0.1666666666666666,12360,runctrl
run_67,m090On_dr700_r525_038,neutrons,False,2026-07-23 05:19:00,2026-07-23 05:29:00,1784776740.0,1784777340.0,0.1666666666666666,13288,runctrl
run_67,m141On_dr700_r520_039,neutrons,False,2026-07-23 05:30:00,2026-07-23 05:40:00,1784777400.0,1784778000.0,0.1666666666666666,10153,runctrl
run_67,m113On_dr700_r520_040,neutrons,False,2026-07-23 05:40:00,2026-07-23 05:50:00,1784778000.0,1784778600.0,0.1666666666666666,11765,runctrl
run_67,m090On_dr700_r520_041,neutrons,False,2026-07-23 05:51:00,2026-07-23 06:01:00,1784778660.0,1784779260.0,0.1666666666666666,14111,runctrl
run_67,m141On_dr500_r550_042,neutrons,False,2026-07-23 06:02:00,2026-07-23 06:12:00,1784779320.0,1784779920.0,0.1666666666666666,10682,runctrl
run_67,m113On_dr500_r550_043,neutrons,False,2026-07-23 06:12:00,2026-07-23 06:22:00,1784779920.0,1784780520.0,0.1666666666666666,12995,runctrl
run_67,m090On_dr500_r550_044,neutrons,False,2026-07-23 06:22:00,2026-07-23 06:32:00,1784780520.0,1784781120.0,0.1666666666666666,14014,runctrl
run_67,m141On_dr500_r545_045,neutrons,False,2026-07-23 06:33:00,2026-07-23 06:43:00,1784781180.0,1784781780.0,0.1666666666666666,10677,runctrl
run_67,m113On_dr500_r545_046,neutrons,False,2026-07-23 06:43:00,2026-07-23 06:53:00,1784781780.0,1784782380.0,0.1666666666666666,12847,runctrl
run_67,m090On_dr500_r545_047,neutrons,False,2026-07-23 06:54:00,2026-07-23 07:04:00,1784782440.0,1784783040.0,0.1666666666666666,14214,runctrl
run_67,m141On_dr500_r540_048,neutrons,False,2026-07-23 07:04:00,2026-07-23 07:14:00,1784783040.0,1784783640.0,0.1666666666666666,10721,runctrl
run_67,m113On_dr500_r540_049,neutrons,False,2026-07-23 07:15:00,2026-07-23 07:25:00,1784783700.0,1784784300.0,0.1666666666666666,12927,runctrl
run_67,m090On_dr500_r540_050,neutrons,False,2026-07-23 07:25:00,2026-07-23 07:35:00,1784784300.0,1784784900.0,0.1666666666666666,13634,runctrl
run_67,m141On_dr500_r535_051,neutrons,False,2026-07-23 07:36:00,2026-07-23 07:46:00,1784784960.0,1784785560.0,0.1666666666666666,10908,runctrl
run_67,m113On_dr500_r535_052,neutrons,False,2026-07-23 07:46:00,2026-07-23 07:56:00,1784785560.0,1784786160.0,0.1666666666666666,12812,runctrl
run_67,m090On_dr500_r535_053,neutrons,False,2026-07-23 07:57:00,2026-07-23 08:07:00,1784786220.0,1784786820.0,0.1666666666666666,13911,runctrl
run_67,m141On_dr500_r530_054,neutrons,False,2026-07-23 08:07:00,2026-07-23 08:17:00,1784786820.0,1784787420.0,0.1666666666666666,10751,runctrl
run_67,m113On_dr500_r530_055,neutrons,False,2026-07-23 08:18:00,2026-07-23 08:28:00,1784787480.0,1784788080.0,0.1666666666666666,12771,runctrl
run_67,m090On_dr500_r530_056,neutrons,False,2026-07-23 08:28:00,2026-07-23 08:38:00,1784788080.0,1784788680.0,0.1666666666666666,14283,runctrl
run_67,m141On_dr500_r525_057,neutrons,False,2026-07-23 08:39:00,2026-07-23 08:49:00,1784788740.0,1784789340.0,0.1666666666666666,10828,runctrl
run_67,m113On_dr500_r525_058,neutrons,False,2026-07-23 08:49:00,2026-07-23 08:59:00,1784789340.0,1784789940.0,0.1666666666666666,10680,runctrl
run_67,m090On_dr500_r525_059,neutrons,False,2026-07-23 08:59:00,2026-07-23 09:09:00,1784789940.0,1784790540.0,0.1666666666666666,9748,runctrl
run_67,m141On_dr500_r520_060,neutrons,False,2026-07-23 09:10:00,2026-07-23 09:20:00,1784790600.0,1784791200.0,0.1666666666666666,7477,runctrl
run_67,m113On_dr500_r520_061,neutrons,False,2026-07-23 09:20:00,2026-07-23 09:30:00,1784791200.0,1784791800.0,0.1666666666666666,9575,runctrl
run_67,m090On_dr500_r520_062,neutrons,False,2026-07-23 09:31:00,2026-07-23 09:41:00,1784791860.0,1784792460.0,0.1666666666666666,10155,runctrl
run_67,m141On_dr400_r550_063,neutrons,False,2026-07-23 09:42:00,2026-07-23 09:52:00,1784792520.0,1784793120.0,0.1666666666666666,7623,runctrl
run_67,m113On_dr400_r550_064,neutrons,False,2026-07-23 09:52:00,2026-07-23 10:02:00,1784793120.0,1784793720.0,0.1666666666666666,471,runctrl
run_68,cos_000_r570_c00,cosmics,True,2026-07-23 14:54:00,2026-07-23 15:04:00,1784811240.0,1784811840.0,0.1666666666666666,13542,runctrl
run_68,cos_001_r560_c00,cosmics,True,2026-07-23 15:04:00,2026-07-23 15:14:00,1784811840.0,1784812440.0,0.1666666666666666,13747,runctrl
run_68,cos_002_r550_c00,cosmics,True,2026-07-23 15:15:00,2026-07-23 15:25:00,1784812500.0,1784813100.0,0.1666666666666666,13658,runctrl
run_68,cos_003_r540_c00,cosmics,True,2026-07-23 15:38:00,2026-07-23 15:48:00,1784813880.0,1784814480.0,0.1666666666666666,0,runctrl
