Dream_ID,Channel,Threshold_Decimal,Threshold_Hex
0,0,300,0x12c
0,1,299,0x12b
0,2,289,0x121
0,3,291,0x123
0,4,289,0x121
0,5,290,0x122
0,6,291,0x123
0,7,305,0x131
0,8,290,0x122
0,9,305,0x131
0,10,304,0x130
0,11,288,0x120
0,12,289,0x121
0,13,289,0x121
0,14,289,0x121
0,15,297,0x129
0,16,301,0x12d
0,17,289,0x121
0,18,289,0x121
0,19,295,0x127
0,20,297,0x129
0,21,291,0x123
0,22,290,0x122
0,23,289,0x121
0,24,290,0x122
0,25,290,0x122
0,26,291,0x123
0,27,290,0x122
0,28,290,0x122
0,29,290,0x122
0,30,291,0x123
0,31,290,0x122
0,32,290,0x122
0,33,290,0x122
0,34,300,0x12c
0,35,299,0x12b
0,36,296,0x128
0,37,297,0x129
0,38,290,0x122
0,39,294,0x126
0,40,293,0x125
0,41,291,0x123
0,42,289,0x121
0,43,289,0x121
0,44,290,0x122
0,45,289,0x121
0,46,289,0x121
0,47,290,0x122
0,48,289,0x121
0,49,291,0x123
0,50,289,0x121
0,51,289,0x121
0,52,290,0x122
0,53,289,0x121
0,54,290,0x122
0,55,288,0x120
0,56,290,0x122
0,57,290,0x122
0,58,290,0x122
0,59,289,0x121
0,60,290,0x122
0,61,290,0x122
0,62,290,0x122
0,63,292,0x124
1,0,292,0x124
1,1,339,0x153
1,2,288,0x120
1,3,287,0x11f
1,4,288,0x120
1,5,288,0x120
1,6,288,0x120
1,7,289,0x121
1,8,288,0x120
1,9,288,0x120
1,10,293,0x125
1,11,288,0x120
1,12,288,0x120
1,13,301,0x12d
1,14,310,0x136
1,15,316,0x13c
1,16,311,0x137
1,17,307,0x133
1,18,299,0x12b
1,19,306,0x132
1,20,292,0x124
1,21,289,0x121
1,22,288,0x120
1,23,289,0x121
1,24,290,0x122
1,25,289,0x121
1,26,288,0x120
1,27,288,0x120
1,28,288,0x120
1,29,290,0x122
1,30,288,0x120
1,31,292,0x124
1,32,290,0x122
1,33,289,0x121
1,34,289,0x121
1,35,288,0x120
1,36,289,0x121
1,37,289,0x121
1,38,290,0x122
1,39,288,0x120
1,40,289,0x121
1,41,303,0x12f
1,42,313,0x139
1,43,290,0x122
1,44,289,0x121
1,45,292,0x124
1,46,290,0x122
1,47,296,0x128
1,48,292,0x124
1,49,292,0x124
1,50,305,0x131
1,51,307,0x133
1,52,301,0x12d
1,53,305,0x131
1,54,305,0x131
1,55,416,0x1a0
1,56,323,0x143
1,57,322,0x142
1,58,312,0x138
1,59,322,0x142
1,60,292,0x124
1,61,302,0x12e
1,62,295,0x127
1,63,289,0x121
2,0,288,0x120
2,1,290,0x122
2,2,288,0x120
2,3,288,0x120
2,4,288,0x120
2,5,289,0x121
2,6,288,0x120
2,7,288,0x120
2,8,289,0x121
2,9,290,0x122
2,10,288,0x120
2,11,288,0x120
