# Common threshold scan, POST-EQUALIZATION amplitude scale (equalized voltages of pss/hv_equalization_run224466.json).
# eff = wall-tagged (sideband-subtracted) fraction above threshold; rate = summed late hits/bunch, 8 PMTs (relative).
thr_mV,PSSA1,PSSA2,PSSB1,PSSB2,PSSC1,PSSC2,PSSD1,PSSD2,min_eff,late_hits_per_bunch
1.50,1.0000,1.0000,1.0000,0.9999,0.9997,1.0000,1.0000,1.0000,0.9997,37072
1.56,0.9999,0.9999,1.0000,0.9999,0.9996,1.0000,1.0000,1.0000,0.9996,37046
1.62,0.9999,0.9999,1.0000,0.9999,0.9996,1.0000,1.0000,1.0000,0.9996,37014
1.69,0.9998,0.9998,1.0000,0.9999,0.9996,0.9999,1.0000,1.0000,0.9996,36970
1.76,0.9998,0.9998,1.0000,0.9999,0.9996,0.9999,0.9999,1.0000,0.9996,36916
1.83,0.9998,0.9998,1.0000,0.9998,0.9995,0.9999,0.9999,1.0000,0.9995,36854
1.90,0.9998,0.9997,1.0000,0.9998,0.9993,0.9999,0.9999,1.0000,0.9993,36783
1.97,0.9998,0.9997,1.0000,0.9997,0.9992,0.9999,0.9997,1.0000,0.9992,36697
2.05,0.9997,0.9997,0.9999,0.9997,0.9991,0.9999,0.9996,1.0000,0.9991,36594
2.14,0.9997,0.9996,0.9999,0.9997,0.9988,0.9999,0.9995,1.0000,0.9988,36472
2.22,0.9997,0.9996,0.9998,0.9996,0.9988,0.9998,0.9995,1.0000,0.9988,36331
2.31,0.9997,0.9994,0.9998,0.9995,0.9986,0.9998,0.9995,1.0000,0.9986,36170
2.40,0.9996,0.9991,0.9997,0.9995,0.9985,0.9997,0.9993,1.0000,0.9985,35988
2.50,0.9996,0.9990,0.9997,0.9995,0.9984,0.9996,0.9991,1.0000,0.9984,35788
2.60,0.9994,0.9989,0.9997,0.9992,0.9982,0.9994,0.9991,1.0000,0.9982,35563
2.70,0.9993,0.9988,0.9995,0.9990,0.9978,0.9991,0.9989,1.0000,0.9978,35311
2.81,0.9992,0.9985,0.9992,0.9989,0.9974,0.9991,0.9987,1.0000,0.9974,35028
2.93,0.9990,0.9983,0.9990,0.9988,0.9966,0.9991,0.9987,1.0000,0.9966,34728
3.04,0.9987,0.9981,0.9990,0.9986,0.9961,0.9989,0.9985,0.9999,0.9961,34409
3.17,0.9987,0.9978,0.9987,0.9983,0.9954,0.9988,0.9985,0.9999,0.9954,34065
3.29,0.9986,0.9973,0.9986,0.9982,0.9946,0.9985,0.9985,0.9998,0.9946,33699
3.42,0.9985,0.9968,0.9984,0.9978,0.9940,0.9984,0.9982,0.9996,0.9940,33320
3.56,0.9984,0.9960,0.9980,0.9974,0.9933,0.9982,0.9979,0.9994,0.9933,32938
3.70,0.9982,0.9955,0.9976,0.9969,0.9929,0.9977,0.9974,0.9992,0.9929,32548
3.85,0.9979,0.9948,0.9970,0.9962,0.9922,0.9973,0.9964,0.9990,0.9922,32147
4.01,0.9978,0.9942,0.9968,0.9955,0.9915,0.9967,0.9959,0.9986,0.9915,31744
4.17,0.9974,0.9935,0.9964,0.9950,0.9905,0.9961,0.9950,0.9984,0.9905,31346
4.33,0.9970,0.9924,0.9958,0.9942,0.9893,0.9955,0.9936,0.9979,0.9893,30949
4.51,0.9962,0.9913,0.9952,0.9930,0.9881,0.9949,0.9922,0.9972,0.9881,30552
4.69,0.9961,0.9903,0.9942,0.9924,0.9860,0.9940,0.9912,0.9967,0.9860,30161
4.88,0.9958,0.9891,0.9930,0.9913,0.9832,0.9932,0.9900,0.9963,0.9832,29773
5.07,0.9951,0.9877,0.9916,0.9902,0.9800,0.9923,0.9884,0.9954,0.9800,29389
5.28,0.9942,0.9862,0.9904,0.9892,0.9758,0.9912,0.9871,0.9943,0.9758,29015
5.49,0.9934,0.9848,0.9892,0.9883,0.9706,0.9904,0.9853,0.9935,0.9706,28647
5.71,0.9928,0.9828,0.9876,0.9868,0.9653,0.9893,0.9838,0.9920,0.9653,28287
5.94,0.9920,0.9813,0.9857,0.9852,0.9589,0.9876,0.9824,0.9907,0.9589,27932
6.17,0.9911,0.9794,0.9840,0.9830,0.9524,0.9865,0.9806,0.9889,0.9524,27587
