# Common threshold scan, POST-EQUALIZATION amplitude scale (equalized voltages of pss/hv_equalization_run224489.json).
# eff = wall-tagged (sideband-subtracted) fraction above threshold; rate = summed late hits/bunch, 8 PMTs (relative).
thr_mV,PSSA1,PSSA2,PSSB1,PSSB2,PSSC1,PSSC2,PSSD1,PSSD2,min_eff,late_hits_per_bunch
14.66,0.9052,0.9009,0.9010,0.8486,0.8467,0.8809,0.8339,0.9521,0.8339,28889
15.24,0.8973,0.8940,0.8930,0.8409,0.8397,0.8741,0.8263,0.9485,0.8263,28163
15.85,0.8903,0.8868,0.8852,0.8337,0.8326,0.8666,0.8189,0.9447,0.8189,27456
16.49,0.8822,0.8784,0.8778,0.8261,0.8253,0.8588,0.8118,0.9400,0.8118,26767
17.15,0.8743,0.8701,0.8702,0.8179,0.8180,0.8509,0.8044,0.9337,0.8044,26092
17.84,0.8665,0.8622,0.8625,0.8104,0.8101,0.8439,0.7974,0.9256,0.7974,25436
18.55,0.8581,0.8540,0.8530,0.8032,0.8018,0.8368,0.7904,0.9160,0.7904,24797
19.30,0.8507,0.8463,0.8447,0.7953,0.7938,0.8280,0.7828,0.9046,0.7828,24178
20.07,0.8416,0.8367,0.8359,0.7875,0.7867,0.8199,0.7749,0.8936,0.7749,23573
20.88,0.8325,0.8277,0.8268,0.7800,0.7794,0.8122,0.7674,0.8836,0.7674,22988
21.71,0.8236,0.8189,0.8177,0.7727,0.7708,0.8046,0.7596,0.8729,0.7596,22420
22.58,0.8149,0.8102,0.8079,0.7648,0.7631,0.7957,0.7525,0.8613,0.7525,21873
23.49,0.8064,0.8009,0.7989,0.7565,0.7551,0.7863,0.7449,0.8494,0.7449,21343
24.43,0.7967,0.7919,0.7895,0.7485,0.7473,0.7780,0.7369,0.8378,0.7369,20831
25.41,0.7873,0.7825,0.7804,0.7398,0.7388,0.7689,0.7282,0.8267,0.7282,20341
26.43,0.7779,0.7730,0.7708,0.7314,0.7311,0.7601,0.7201,0.8151,0.7201,19864
27.49,0.7680,0.7633,0.7611,0.7229,0.7226,0.7510,0.7123,0.8034,0.7123,19404
28.59,0.7582,0.7528,0.7521,0.7149,0.7138,0.7417,0.7032,0.7907,0.7032,18960
29.73,0.7471,0.7426,0.7426,0.7057,0.7054,0.7320,0.6943,0.7783,0.6943,18527
30.93,0.7376,0.7323,0.7318,0.6971,0.6962,0.7230,0.6860,0.7655,0.6860,18110
32.16,0.7267,0.7219,0.7220,0.6879,0.6874,0.7128,0.6781,0.7532,0.6781,17707
33.45,0.7159,0.7107,0.7119,0.6797,0.6788,0.7022,0.6695,0.7414,0.6695,17317
34.79,0.7051,0.7005,0.7013,0.6705,0.6693,0.6920,0.6605,0.7282,0.6605,16939
36.19,0.6933,0.6897,0.6914,0.6618,0.6592,0.6814,0.6512,0.7154,0.6512,16571
37.64,0.6820,0.6796,0.6806,0.6530,0.6506,0.6705,0.6425,0.7028,0.6425,16213
39.15,0.6698,0.6684,0.6693,0.6435,0.6415,0.6597,0.6332,0.6893,0.6332,15863
40.72,0.6581,0.6570,0.6582,0.6341,0.6319,0.6488,0.6245,0.6752,0.6245,15520
42.35,0.6468,0.6448,0.6460,0.6248,0.6219,0.6387,0.6151,0.6618,0.6151,15182
44.05,0.6347,0.6318,0.6341,0.6146,0.6118,0.6275,0.6054,0.6475,0.6054,14847
45.81,0.6217,0.6198,0.6223,0.6042,0.6017,0.6157,0.5956,0.6332,0.5956,14519
47.65,0.6087,0.6076,0.6104,0.5933,0.5911,0.6046,0.5849,0.6189,0.5849,14192
49.56,0.5949,0.5951,0.5971,0.5827,0.5797,0.5928,0.5744,0.6040,0.5744,13867
51.55,0.5807,0.5825,0.5847,0.5725,0.5696,0.5806,0.5642,0.5892,0.5642,13544
53.61,0.5670,0.5692,0.5703,0.5613,0.5583,0.5681,0.5541,0.5737,0.5541,13218
55.76,0.5537,0.5558,0.5569,0.5492,0.5470,0.5555,0.5431,0.5583,0.5431,12888
58.00,0.5392,0.5429,0.5430,0.5378,0.5348,0.5427,0.5319,0.5424,0.5319,12557
60.32,0.5245,0.5294,0.5290,0.5254,0.5239,0.5299,0.5210,0.5272,0.5210,12226
62.74,0.5102,0.5160,0.5147,0.5129,0.5126,0.5163,0.5092,0.5119,0.5092,11892
65.25,0.4959,0.5023,0.5006,0.5007,0.5003,0.5028,0.4970,0.4964,0.4959,11552
67.87,0.4814,0.4888,0.4867,0.4883,0.4882,0.4896,0.4847,0.4818,0.4814,11210
70.59,0.4669,0.4747,0.4737,0.4754,0.4766,0.4755,0.4718,0.4674,0.4669,10862
73.42,0.4520,0.4614,0.4600,0.4618,0.4645,0.4612,0.4590,0.4526,0.4520,10508
76.36,0.4370,0.4483,0.4469,0.4485,0.4522,0.4466,0.4463,0.4391,0.4370,10147
79.42,0.4218,0.4348,0.4332,0.4356,0.4399,0.4323,0.4340,0.4245,0.4218,9781
82.60,0.4062,0.4210,0.4198,0.4225,0.4272,0.4175,0.4208,0.4093,0.4062,9406
85.92,0.3917,0.4067,0.4060,0.4090,0.4150,0.4028,0.4093,0.3949,0.3917,9027
89.36,0.3770,0.3931,0.3915,0.3953,0.4017,0.3877,0.3973,0.3802,0.3770,8635
92.94,0.3633,0.3798,0.3776,0.3825,0.3887,0.3732,0.3853,0.3663,0.3633,8233
96.67,0.3490,0.3659,0.3643,0.3703,0.3753,0.3594,0.3734,0.3525,0.3490,7823
100.54,0.3352,0.3536,0.3504,0.3583,0.3624,0.3461,0.3610,0.3391,0.3352,7405
104.57,0.3213,0.3412,0.3362,0.3465,0.3488,0.3331,0.3484,0.3252,0.3213,6980
108.76,0.3081,0.3286,0.3224,0.3338,0.3354,0.3197,0.3363,0.3115,0.3081,6550
113.12,0.2961,0.3158,0.3094,0.3217,0.3213,0.3061,0.3236,0.2993,0.2961,6118
117.66,0.2837,0.3032,0.2966,0.3093,0.3088,0.2926,0.3112,0.2857,0.2837,5687
122.37,0.2708,0.2902,0.2826,0.2975,0.2961,0.2799,0.2996,0.2718,0.2708,5264
127.28,0.2576,0.2771,0.2696,0.2854,0.2845,0.2669,0.2867,0.2583,0.2576,4851
132.38,0.2448,0.2645,0.2562,0.2732,0.2727,0.2544,0.2746,0.2447,0.2447,4455
137.68,0.2329,0.2523,0.2433,0.2616,0.2601,0.2429,0.2621,0.2315,0.2315,4074
143.20,0.2217,0.2397,0.2311,0.2502,0.2466,0.2310,0.2512,0.2180,0.2180,3713
148.94,0.2103,0.2275,0.2190,0.2401,0.2336,0.2198,0.2396,0.2043,0.2043,3376
154.91,0.1990,0.2147,0.2070,0.2287,0.2209,0.2085,0.2285,0.1906,0.1906,3061
161.12,0.1877,0.2025,0.1940,0.2173,0.2082,0.1978,0.2173,0.1767,0.1767,2773
167.58,0.1760,0.1903,0.1813,0.2068,0.1952,0.1877,0.2056,0.1626,0.1626,2510
174.30,0.1648,0.1785,0.1688,0.1959,0.1830,0.1766,0.1944,0.1497,0.1497,2274
181.28,0.1536,0.1659,0.1567,0.1855,0.1707,0.1659,0.1822,0.1375,0.1375,2062
188.55,0.1420,0.1535,0.1445,0.1743,0.1602,0.1555,0.1695,0.1254,0.1254,1872
196.11,0.1308,0.1413,0.1327,0.1635,0.1491,0.1450,0.1578,0.1141,0.1141,1701
