# Per-PMT voltages [V] that scale the Y-88-equalized fleet response by a common factor g,
# from the Y-88-edge equalized baseline (g=1.0 = hv_equalization_y88_fifo.json). FIFO readout.
# V(g) = V_eq * g^(1/n) per PMT (n = FIFO gain-vs-V power law). Validated 1200-1600 V; outside marked *.
pmt,caen,n,g=0.5,g=0.67,g=0.8,g=1.0,g=1.25,g=1.5,g=2.0
PSSA1,7:0,6.94,1119*,1168*,1198*,1237,1277,1311,1367
PSSA2,7:1,5.08,1027*,1088*,1126*,1177*,1230,1275,1349
PSSB1,7:2,5.19,1260,1333,1379,1440,1503,1557,1646*
PSSB2,7:3,7.10,1132*,1180*,1209,1248,1288,1321,1376
PSSC1,7:4,3.80,1012*,1093*,1145*,1214,1287,1351,1457
PSSC2,7:5,6.64,1182*,1235,1269,1312,1357,1395,1456
PSSD1,7:6,5.77,1180*,1242,1281,1331,1383,1428,1501
PSSD2,7:7,6.39,1299,1360,1398,1448,1499,1543,1614*
